Trace
Swept SA
A.14.59,N9000A
507 FSA P03 ,01
Segment,0
Number of Points,1001
Sweep Time,0.008533333333
Start Frequency,0
Stop Frequency,200000000
Average Count,100
Average Type,LogPower(Video)
RBW,300000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,300000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,24
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace6
Trace Math Oper2,Trace1
Trace Math Offset,0
Normalize,Off
Trace Name,Trace2
X Axis Units,Hz
Y Axis Units,dBm
DATA
0,5.73773418419963
200000,0.201565128523048
400000,-16.5857317464697
600000,-48.4193121259805
800000,-54.7205619127335
1000000,-53.3602536534651
1200000,-51.9416538949849
1400000,-53.2754837243046
1600000,-56.8674655573865
1800000,-60.4081272039191
2000000,-63.2205717222546
2200000,-65.7239829343958
2400000,-65.6909930486982
2600000,-66.1120430149667
2800000,-66.560024302332
3000000,-66.1110579307765
3200000,-65.9845245919636
3400000,-66.0236659451493
3600000,-66.7569652035942
3800000,-66.9910083071432
4000000,-66.4837958498367
4200000,-66.6469517551894
4400000,-67.0912015463891
4600000,-66.9827068720314
4800000,-66.6170666742514
5000000,-66.0227084394171
5200000,-64.9642899311271
5400000,-64.8386311946138
5600000,-65.0238988522171
5800000,-65.8926522559575
6000000,-65.7134176524822
6200000,-66.0601449820664
6400000,-66.0079920891816
6600000,-67.1089807203845
6800000,-67.7953187503605
7000000,-67.6866960487971
7200000,-68.0642689849097
7400000,-68.1091353303526
7600000,-68.1578800438062
7800000,-67.7199966061848
8000000,-68.4385019134741
8200000,-67.9773764141905
8400000,-67.9457141135343
8600000,-68.0931197167255
8800000,-67.7364801205692
9000000,-68.3772661407538
9200000,-67.2798101702333
9400000,-63.8763348854432
9600000,-65.3967186907936
9800000,-66.6077639502237
10000000,-66.8564043458248
10200000,-66.8432140756157
10400000,-67.7175662427445
10600000,-67.761784251526
10800000,-68.1695039909234
11000000,-67.4996706771233
11200000,-67.9508116949837
11400000,-68.6532954545286
11600000,-67.6562550230115
11800000,-67.7818728301453
12000000,-68.156922071256
12200000,-67.6473429539919
12400000,-68.0166495221411
12600000,-67.9645634835117
12800000,-68.1737576838029
13000000,-68.6219517761744
13200000,-68.105213131524
13400000,-68.3987811123707
13600000,-68.2018105383364
13800000,-67.9018083537884
14000000,-67.8447496225849
14200000,-68.4594209218579
14400000,-68.3016777673146
14600000,-68.3243567098549
14800000,-67.9217695482986
15000000,-68.2289832021765
15200000,-68.3617326412481
15400000,-68.3597513121781
15600000,-67.9954079070128
15800000,-67.8608008688521
16000000,-67.5694808678646
16200000,-68.1316503332571
16400000,-67.6948667701111
16600000,-68.1769593482335
16800000,-67.8247967389619
17000000,-68.5383434166399
17200000,-67.7646994175316
17400000,-68.1629456661998
17600000,-68.1786527635481
17800000,-68.3987439255195
18000000,-67.4917732952782
18200000,-67.9727807127369
18400000,-67.721101026889
18600000,-67.6594403274178
18800000,-67.0175281950987
19000000,-67.5188088181549
19200000,-67.5867695047621
19400000,-67.287345669784
19600000,-67.1895374199841
19800000,-67.379849163316
20000000,-67.845796226946
20200000,-67.1735281952127
20400000,-67.2931070531078
20600000,-67.7240845684951
20800000,-67.1330443768103
21000000,-67.5656300419657
21200000,-67.715611995367
21400000,-68.0154905027268
21600000,-67.5169586610536
21800000,-67.6417752760192
22000000,-67.0604053865188
22200000,-67.9190917016188
22400000,-67.6953609339324
22600000,-67.6646112241221
22800000,-67.303781098884
23000000,-68.5243893536452
23200000,-68.42194250519
23400000,-67.9051977923752
23600000,-67.570750418575
23800000,-68.2114147795583
24000000,-68.3912939966264
24200000,-68.2844110650299
24400000,-66.6283983392506
24600000,-62.9872221513839
24800000,-65.9198222326512
25000000,-67.88359252839
25200000,-67.8701049759518
25400000,-68.1691315011608
25600000,-67.0778915242124
25800000,-67.913852017179
26000000,-67.6864588811993
26200000,-66.6847164051113
26400000,-67.3173265083672
26600000,-67.8101638124775
26800000,-67.5497231110232
27000000,-67.2451265928304
27200000,-67.9943563181166
27400000,-67.7209471206476
27600000,-67.0842742233054
27800000,-66.9857813029118
28000000,-67.506349018483
28200000,-67.8798289428218
28400000,-66.9358005851378
28600000,-67.3905291201165
28800000,-67.7765140802813
29000000,-67.3576416099265
29200000,-68.3082637578028
29400000,-68.0550300179649
29600000,-67.6645039522857
29800000,-67.997261569697
30000000,-68.0930368250282
30200000,-67.5331094999997
30400000,-67.6206285072918
30600000,-67.7617238221698
30800000,-68.2072125916198
31000000,-67.1330016731405
31200000,-67.8498335702982
31400000,-68.0505126090551
31600000,-67.5476197147556
31800000,-68.0492547758028
32000000,-68.4028947559954
32200000,-67.9585834516013
32400000,-68.1892727552064
32600000,-68.047839123083
32800000,-68.308166448974
33000000,-68.5572734804506
33200000,-68.368531568977
33400000,-67.7553493494838
33600000,-67.9771070905408
33800000,-68.2657372032566
34000000,-68.5533553640162
34200000,-68.1941098968427
34400000,-68.5886179118018
34600000,-68.4343535153076
34800000,-68.8969291583466
35000000,-68.3435610788411
35200000,-67.5755479582758
35400000,-67.7836803571661
35600000,-46.0121058149249
35800000,-30.1244093846007
36000000,-25.9923854937219
36200000,-32.6364190633319
36400000,-51.6570790501468
