Trace
Swept SA
A.14.59,N9000A
507 FSA P03 ,01
Segment,0
Number of Points,1001
Sweep Time,0.008533333333
Start Frequency,0
Stop Frequency,200000000
Average Count,100
Average Type,LogPower(Video)
RBW,300000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,300000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,24
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace6
Trace Math Oper2,Trace1
Trace Math Offset,0
Normalize,Off
Trace Name,Trace2
X Axis Units,Hz
Y Axis Units,dBm
DATA
0,5.73690515655495
200000,0.201869074971677
400000,-16.5934121093661
600000,-48.6332183219023
800000,-55.2782859133985
1000000,-53.3304335472911
1200000,-52.5214437716024
1400000,-53.7092332746959
1600000,-57.0891348193874
1800000,-60.8183127258163
2000000,-62.8742665596271
2200000,-64.5798594952436
2400000,-65.6449309285981
2600000,-65.6098240349378
2800000,-66.5833367948036
3000000,-66.4597005662019
3200000,-66.5272696497507
3400000,-66.8178128447726
3600000,-66.2704379364959
3800000,-67.2445577269989
4000000,-67.1407399547015
4200000,-66.5940935166975
4400000,-66.8243900126237
4600000,-67.6315429672116
4800000,-65.8683712329638
5000000,-65.7092301266515
5200000,-65.6617296755372
5400000,-65.251276014418
5600000,-65.1710274371529
5800000,-66.3558032700829
6000000,-66.1125309040485
6200000,-66.0996966058893
6400000,-66.2689826183842
6600000,-66.9998792422266
6800000,-68.10836342968
7000000,-67.4519325718764
7200000,-67.2684771867841
7400000,-67.7166298137017
7600000,-67.7654846212963
7800000,-68.1717484298451
8000000,-68.1890086551516
8200000,-67.9988688758453
8400000,-67.8521114298574
8600000,-68.1453616215385
8800000,-68.0503243484651
9000000,-68.4234911479909
9200000,-66.5108165894263
9400000,-63.1082101650491
9600000,-64.9257736502334
9800000,-66.1803812243822
10000000,-65.0023401798406
10200000,-66.4788681814655
10400000,-67.8244310413011
10600000,-67.7578165616728
10800000,-67.6534331697039
11000000,-67.4483534770901
11200000,-68.0384353842353
11400000,-68.2581121191837
11600000,-68.2126892807692
11800000,-67.7908681732466
12000000,-68.4128219182607
12200000,-68.0755147418026
12400000,-68.2233090401719
12600000,-68.3363417762678
12800000,-68.3365331234676
13000000,-68.349520983648
13200000,-68.1086847018207
13400000,-67.7043809067954
13600000,-69.0300297011605
13800000,-68.1855470814861
14000000,-68.5259072003991
14200000,-67.9404295148222
14400000,-68.06020300348
14600000,-68.7435923023764
14800000,-68.5119858677133
15000000,-67.8033689909202
15200000,-68.3818894093212
15400000,-68.2229208177429
15600000,-67.8314828920586
15800000,-68.1397502778961
16000000,-68.0773878872501
16200000,-68.2563269367918
16400000,-67.4672784574697
16600000,-68.3161018524293
16800000,-67.7509586609583
17000000,-68.0166774364274
17200000,-67.8642786218259
17400000,-67.7933562784362
17600000,-67.8548211305591
17800000,-67.44466107234
18000000,-67.3810902215386
18200000,-67.9429192105349
18400000,-67.8458244799941
18600000,-67.2588890700054
18800000,-67.6669256235546
19000000,-67.5315558554559
19200000,-67.302166259947
19400000,-67.3042960177421
19600000,-67.1367898157587
19800000,-67.2661046222415
20000000,-67.6013642614627
20200000,-67.7762396117267
20400000,-67.0145062647771
20600000,-67.1595710496052
20800000,-67.7282711916731
21000000,-67.074930783862
21200000,-67.7228942000489
21400000,-67.1177080578596
21600000,-68.0976640925033
21800000,-67.4026231716668
22000000,-67.8162896670454
22200000,-67.6093178453221
22400000,-68.1610340062478
22600000,-67.7679273639151
22800000,-67.9454613174391
23000000,-68.090120801118
23200000,-67.6152676787923
23400000,-67.6799330916999
23600000,-67.6284243304803
23800000,-67.6772178291797
24000000,-67.5385344520531
24200000,-67.667751356663
24400000,-64.955687102405
24600000,-60.3204984833976
24800000,-64.5427333323514
25000000,-67.8356506825954
25200000,-67.488631016768
25400000,-67.5610083127326
25600000,-67.4447195983064
25800000,-68.0346960587897
26000000,-67.632418280967
26200000,-67.1273796938765
26400000,-67.4901677982624
26600000,-67.0539936764727
26800000,-67.7977328689171
27000000,-67.3775835523765
27200000,-67.4625213436679
27400000,-67.7744695503706
27600000,-66.9275371157911
27800000,-67.2118278651351
28000000,-66.9147703089766
28200000,-67.811542591352
28400000,-67.6760489712667
28600000,-67.9562386888093
28800000,-67.3470704691057
29000000,-66.6744225058581
29200000,-67.6236223565412
29400000,-67.9339804378955
29600000,-67.0319173444404
29800000,-67.7873070910366
30000000,-67.5499853986233
30200000,-67.3877152040086
30400000,-67.999552039357
30600000,-68.4968301728292
30800000,-67.8552968713605
31000000,-68.2456830083885
31200000,-67.9995987550288
31400000,-67.9539275342271
31600000,-68.0903531491298
31800000,-68.0511525376853
32000000,-68.2865145636769
32200000,-68.2178368987644
32400000,-68.0165185042573
32600000,-67.9668243972074
32800000,-68.7093372472327
33000000,-67.9443558298953
33200000,-67.8286698506312
33400000,-68.1362945353483
33600000,-68.2029069883888
33800000,-67.9744639451997
34000000,-68.1351119867949
34200000,-68.598392482571
34400000,-68.6464224548932
34600000,-68.5344554983386
34800000,-68.0438965697548
35000000,-69.0332597929824
35200000,-68.4474751271283
35400000,-67.6851343427549
35600000,-46.0003026832947
35800000,-30.1937487460987
36000000,-26.0727619057011
36200000,-32.7290205650262
36400000,-51.7436589424099
