Trace
Swept SA
A.14.59,N9000A
507 FSA P03 ,01
Segment,0
Number of Points,1001
Sweep Time,0.002733333333
Start Frequency,0
Stop Frequency,200000000
Average Count,0
Average Type,LogPower(Video)
RBW,300000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,300000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,24
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
0,-6.22006845474243
200000,-10.655216217041
400000,-23.4140949249268
600000,-58.3132247924805
800000,-40.7734146118164
1000000,-52.8925132751465
1200000,-40.4878768920898
1400000,-44.3988342285156
1600000,-54.4310760498047
1800000,-69.5424652099609
2000000,-58.5944747924805
2200000,-58.196834564209
2400000,-53.0985374450684
2600000,-68.4322128295898
2800000,-58.1121940612793
3000000,-68.0830383300781
3200000,-64.342170715332
3400000,-75.628547668457
3600000,-64.2627105712891
3800000,-72.6835784912109
4000000,-64.4603271484375
4200000,-73.8998184204102
4400000,-63.7488327026367
4600000,-74.4884185791016
4800000,-55.6468086242676
5000000,-74.9513473510742
5200000,-55.3666610717773
5400000,-65.5402908325195
5600000,-64.601676940918
5800000,-75.0442962646484
6000000,-64.7800750732422
6200000,-65.403938293457
6400000,-62.683837890625
6600000,-74.2523803710938
6800000,-61.8730087280273
7000000,-72.2671203613281
7200000,-67.7677383422852
7400000,-67.216438293457
7600000,-64.2222137451172
7800000,-70.5462417602539
8000000,-64.3638610839844
8200000,-68.7535858154297
8400000,-66.9867553710938
8600000,-80.1582412719727
8800000,-71.3330764770508
9000000,-79.6539764404297
9200000,-61.8170204162598
9400000,-76.8059997558594
9600000,-64.8911666870117
9800000,-72.8005065917969
10000000,-60.12353515625
10200000,-71.1616134643555
10400000,-68.8921890258789
10600000,-74.3498916625977
10800000,-62.2146797180176
11000000,-75.4715270996094
11200000,-62.977668762207
11400000,-72.5282363891602
11600000,-63.0924453735352
11800000,-70.9173812866211
12000000,-62.9962959289551
12200000,-75.6556396484375
12400000,-71.3151626586914
12600000,-74.9619827270508
12800000,-67.6398773193359
13000000,-71.7078094482422
13200000,-66.7176513671875
13400000,-68.2809295654297
13600000,-66.1320343017578
13800000,-73.1801376342773
14000000,-69.0241317749023
14200000,-81.5864639282227
14400000,-66.5232696533203
14600000,-76.9065170288086
14800000,-67.8271713256836
15000000,-76.4406890869141
15200000,-66.9402313232422
15400000,-71.0022888183594
15600000,-61.0829124450684
15800000,-75.4598007202148
16000000,-61.4358062744141
16200000,-77.8910980224609
16400000,-69.0844192504883
16600000,-68.7706604003906
16800000,-63.6217575073242
17000000,-69.2448196411133
17200000,-65.4790649414063
17400000,-80.5592956542969
17600000,-66.2442626953125
17800000,-71.2815780639648
18000000,-64.2975387573242
18200000,-68.0347518920898
18400000,-64.6577835083008
18600000,-72.6047134399414
18800000,-65.9006881713867
19000000,-68.8992919921875
19200000,-65.2930221557617
19400000,-71.8127059936523
19600000,-65.2380218505859
19800000,-78.4044723510742
20000000,-62.3028144836426
20200000,-69.4905548095703
20400000,-64.9906005859375
20600000,-74.6712493896484
20800000,-68.2685394287109
21000000,-69.9802703857422
21200000,-64.6130905151367
21400000,-71.3811874389648
21600000,-66.0830917358398
21800000,-76.3774108886719
22000000,-62.432788848877
22200000,-76.3716583251953
22400000,-68.9143142700195
22600000,-71.9673080444336
22800000,-62.8063850402832
23000000,-63.1114463806152
23200000,-60.7927856445313
23400000,-69.0623550415039
23600000,-63.0168266296387
23800000,-84.5211334228516
24000000,-63.4145545959473
24200000,-66.0427474975586
24400000,-63.0861625671387
24600000,-66.7094650268555
24800000,-64.1056442260742
25000000,-71.5939788818359
25200000,-64.5233993530273
25400000,-70.3083419799805
25600000,-66.1135711669922
25800000,-66.6121139526367
26000000,-60.8453178405762
26200000,-69.9382019042969
26400000,-63.0234375
26600000,-80.9524612426758
26800000,-64.7863159179688
27000000,-71.4289245605469
27200000,-61.8264961242676
27400000,-75.7119064331055
27600000,-64.6594467163086
27800000,-77.92236328125
28000000,-65.7234039306641
28200000,-75.9532318115234
28400000,-66.8946533203125
28600000,-79.1051406860352
28800000,-65.5480194091797
29000000,-70.3422622680664
29200000,-66.0343170166016
29400000,-72.7239608764648
29600000,-67.4738235473633
29800000,-78.0035095214844
30000000,-64.7778472900391
30200000,-72.2942962646484
30400000,-67.5475921630859
30600000,-78.9121627807617
30800000,-68.9694595336914
31000000,-73.3837432861328
31200000,-66.3131713867188
31400000,-78.3737258911133
31600000,-66.9986343383789
31800000,-72.5197296142578
32000000,-63.5419960021973
32200000,-77.1613540649414
32400000,-62.7597885131836
32600000,-73.4636535644531
32800000,-63.1681823730469
33000000,-69.9952621459961
33200000,-66.1789855957031
33400000,-68.9455413818359
33600000,-65.2196578979492
33800000,-73.265998840332
34000000,-67.6212005615234
34200000,-74.4210891723633
34400000,-64.0058212280273
34600000,-78.818717956543
34800000,-71.2417678833008
35000000,-70.828254699707
35200000,-62.2040252685547
35400000,-63.047248840332
35600000,-30.6470890045166
35800000,-26.061336517334
36000000,-26.0733470916748
36200000,-31.3386840820313
36400000,-47.1400680541992
