Trace
Swept SA
A.14.59,N9000A
507 FSA P03 ,01
Segment,0
Number of Points,1001
Sweep Time,0.001
Start Frequency,100000
Stop Frequency,200000000
Average Count,100
Average Type,LogPower(Video)
RBW,1000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,1000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,20
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
100000,0.85388864207402
299900,-0.226286558705352
499800,-2.28713943642124
699700,-5.38042169904766
899600,-9.56005150649411
1099500,-14.9363486162292
1299400,-21.7410672081506
1499300,-30.2017779362522
1699200,-40.3537394645903
1899100,-52.1065709686448
2099000,-58.6842287685392
2298900,-59.4350975452183
2498800,-60.0528081469803
2698700,-60.1901879485293
2898600,-59.6796984974088
3098500,-60.1139425325187
3298400,-60.0025585565596
3498300,-60.5749135764399
3698200,-60.7703537408515
3898100,-61.1671545660977
4098000,-60.485014540909
4297900,-60.5284240602634
4497800,-60.0680922455477
4697700,-61.0904330909424
4897600,-60.1068458118076
5097500,-60.5910775502021
5297400,-60.3474278227073
5497300,-60.2314395707856
5697200,-60.7481892876123
5897100,-61.2884785071351
6097000,-61.4874747976623
6296900,-61.1495394223922
6496800,-60.11333851041
6696700,-59.4712383060785
6896600,-58.3719028452545
7096500,-58.1956268605887
7296400,-59.8110173138824
7496300,-60.316535248577
7696200,-61.8485893229705
7896100,-62.4261908192963
8096000,-62.7482906873115
8295900,-62.5372126897949
8495800,-60.0006547629153
8695700,-55.1770575067149
8895600,-50.7995997337412
9095500,-47.3967007783883
9295400,-45.2263445722263
9495300,-43.7909803404713
9695200,-43.5343465380665
9895100,-44.308148011104
10095000,-45.800664709441
10294900,-48.2895187170503
10494800,-51.965687198714
10694700,-56.7222235736965
10894600,-61.3059295515235
11094500,-63.5569466493221
11294400,-63.5321653344062
11494300,-63.850019514606
11694200,-64.6766782596661
11894100,-63.4997729057949
12094000,-63.7731543885484
12293900,-64.4735311119389
12493800,-63.8739151453199
12693700,-64.1463896804754
12893600,-64.3094274503096
13093500,-64.1243896037261
13293400,-64.4793377145574
13493300,-64.4905382370085
13693200,-64.5224473492096
13893100,-64.945083320302
14093000,-64.3353820024539
14292900,-64.4436599911093
14492800,-64.5548616540703
14692700,-64.1781389264226
14892600,-63.9030316911506
15092500,-64.3395592299287
15292400,-63.5301130534485
15492300,-64.5972659166377
15692200,-63.91792312554
15892100,-63.9109282100775
16092000,-64.2000665200649
16291900,-64.3430641514765
16491800,-63.9090327078923
16691700,-64.3372537673258
16891600,-63.423191526875
17091500,-64.5269780189495
17291400,-64.2911396647721
17491300,-63.9970663025408
17691200,-64.1475372411862
17891100,-63.9507367552048
18091000,-63.5142578629296
18290900,-63.9318245227434
18490800,-64.0743499842228
18690700,-64.0894342003282
18890600,-64.0533330618395
19090500,-63.9812561100186
19290400,-64.0441618587871
19490300,-64.2361507450925
19690200,-63.7964715804279
19890100,-63.8999477985015
20090000,-64.2524077559626
20289900,-64.1630732032702
20489800,-64.076041061089
20689700,-64.0315453068147
20889600,-64.6110612525035
21089500,-64.1899624014432
21289400,-63.8519923461642
21489300,-64.229695979668
21689200,-63.8656361388614
21889100,-63.8063383228098
22089000,-64.0212129282692
22288900,-63.628751061288
22488800,-64.1884847430547
22688700,-64.1448415458794
22888600,-64.0012971287121
23088500,-64.1927492333
23288400,-63.7592861757253
23488300,-63.9577362693199
23688200,-63.7742616270443
23888100,-63.8011826530684
24088000,-63.9309975018054
24287900,-63.9967560481841
24487800,-64.0282242760068
24687700,-64.4118625841423
24887600,-64.2920871037938
25087500,-64.2847260188108
25287400,-64.1849355161473
25487300,-63.7326958099615
25687200,-63.7146852439245
25887100,-63.2782486486753
26087000,-63.5569958464922
26286900,-64.0352005230374
26486800,-64.117848757433
26686700,-63.9427901950765
26886600,-64.6301264876881
27086500,-63.992068531829
27286400,-63.9180084182593
27486300,-64.3725465068543
27686200,-64.1718330875303
27886100,-63.9564402560042
28086000,-64.0992162587065
28285900,-63.6673991660074
28485800,-63.9842005426769
28685700,-64.4065747343284
28885600,-63.9616241559074
29085500,-63.8149025716777
29285400,-63.57184199514
29485300,-64.4412842871183
29685200,-63.9982378672759
29885100,-64.749379391074
30085000,-64.2897207339837
30284900,-64.3567470164658
30484800,-63.9748732753048
30684700,-63.6102977650216
30884600,-64.0708021045078
31084500,-63.7530732690382
31284400,-64.2220888879355
31484300,-64.3175237248715
31684200,-64.4855389745939
31884100,-64.1908313400891
32084000,-64.2793790421466
32283900,-64.0572617514366
32483800,-64.5133563916304
32683700,-64.7504328519849
32883600,-64.2771389905821
33083500,-64.4657520222838
33283400,-64.3691142419532
33483300,-64.1759028006017
33683200,-64.756162573356
33883100,-64.7555162575161
34083000,-64.1331807371034
34282900,-59.3890781878784
34482800,-50.5163080629241
34682700,-42.7377150957808
34882600,-36.446288427333
35082500,-31.4930800333379
35282400,-27.7038546146012
35482300,-24.9709560517079
35682200,-23.2353610914661
35882100,-22.4848976256131
36082000,-22.6696453618538
36281900,-23.8074656461043
36481800,-25.938308118294
